DayOfWeek;Hour;Filename;Description
6;10;HD200-00.mp3;Goedemorgen Zandvoort (uur 1)
6;11;HD200-01.mp3;Goedemorgen Zandvoort (uur 2)
0;10;HD200-02.mp3;ZFM Jazz (uur 1)
0;11;HD200-03.mp3;ZFM Jazz (uur 2)
5;19;HD200-06.mp3;Vrijdagavond live (uur 1)
5;20;HD200-07.mp3;Vrijdagavond live (uur 2)
1;20;HD200-25.mp3;Golden ZFM
6;14;HD200-40.mp3;Zandvoort op Zaterdag (uur 1)
6;15;HD200-41.mp3;Zandvoort op Zaterdag (uur 2)
6;16;HD200-42.mp3;Zandvoort op Zaterdag (uur 3)
0;14;HD200-43.mp3;Zandvoort op Zondag (uur 1)
0;15;HD200-44.mp3;Zandvoort op Zondag (uur 2)
0;16;HD200-45.mp3;Zandvoort op Zondag (uur 3)
5;16;HD200-39.mp3;Eurobreakdown (uur 2)
5;15;HD200-38.mp3;Eurobreakdown (uur 1)
0;19;HD200-80.mp3;Inspiratieradio (uur 1)
6;17;HD200-27.mp3;Entertainment 4 U (uur 1)
6;18;HD200-28.mp3;Entertainment 4 U (uur 2)
4;21;AlternativeFM_2.mp3;AlternativeFM (uur 2)
4;20;AlternativeFM_1.mp3;AlternativeFM (uur 1)
0;20;HD200-81.mp3;Inspiratieradio (uur 2)
